FOD1P,Major,Major_Category,Favorite,2nd favorite,Least
1100,GENERAL AGRICULTURE,Agriculture & Natural Resources,Environmental Science,Biology,English
1101,AGRICULTURE PRODUCTION AND MANAGEMENT,Agriculture & Natural Resources,Environmental Science,Biology,English
1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources,Environmental Science,Biology,English
1103,ANIMAL SCIENCES,Agriculture & Natural Resources,Environmental Science,Biology,English
1104,FOOD SCIENCE,Agriculture & Natural Resources,Environmental Science,Biology,English
1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources,Environmental Science,Biology,English
1106,SOIL SCIENCE,Agriculture & Natural Resources,Environmental Science,Biology,English
1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources,Environmental Science,Biology,English
1302,FORESTRY,Agriculture & Natural Resources,Environmental Science,Biology,English
1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources,Environmental Science,Biology,English
6000,FINE ARTS,Arts,Arts,Social Science,Math
6001,DRAMA AND THEATER ARTS,Arts,Arts,Social Science,Math
6002,MUSIC,Arts,Arts,Social Science,Math
6003,VISUAL AND PERFORMING ARTS,Arts,Arts,Social Science,Math
6004,COMMERCIAL ART AND GRAPHIC DESIGN,Arts,Arts,Social Science,Math
6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts,Arts,Social Science,Math
6007,STUDIO ARTS,Arts,Arts,Social Science,Math
6099,MISCELLANEOUS FINE ARTS,Arts,Arts,Social Science,Math
1301,ENVIRONMENTAL SCIENCE,Biology & Life Science,Biology,Chemistry,Arts
3600,BIOLOGY,Biology & Life Science,Biology,Chemistry,Arts
3601,BIOCHEMICAL SCIENCES,Biology & Life Science,Biology,Chemistry,Arts
3602,BOTANY,Biology & Life Science,Biology,Chemistry,Arts
3603,MOLECULAR BIOLOGY,Biology & Life Science,Biology,Chemistry,Arts
3604,ECOLOGY,Biology & Life Science,Biology,Chemistry,Arts
3605,GENETICS,Biology & Life Science,Biology,Chemistry,Arts
3606,MICROBIOLOGY,Biology & Life Science,Biology,Chemistry,Arts
3607,PHARMACOLOGY,Biology & Life Science,Biology,Chemistry,Arts
3608,PHYSIOLOGY,Biology & Life Science,Biology,Chemistry,Arts
3609,ZOOLOGY,Biology & Life Science,Biology,Chemistry,Arts
3611,NEUROSCIENCE,Biology & Life Science,Biology,Chemistry,Arts
3699,MISCELLANEOUS BIOLOGY,Biology & Life Science,Biology,Chemistry,Arts
4006,COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,Biology,Chemistry,Arts
6200,GENERAL BUSINESS,Business,Business,English,Science
6201,ACCOUNTING,Business,Business,English,Science
6202,ACTUARIAL SCIENCE,Business,Business,English,Science
6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business,Business,English,Science
6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business,Business,English,Science
6205,BUSINESS ECONOMICS,Business,Business,English,Science
6206,MARKETING AND MARKETING RESEARCH,Business,Business,English,Science
6207,FINANCE,Business,Business,English,Science
6209,HUMAN RESOURCES AND PERSONNEL MANAGEMENT,Business,Business,English,Science
6210,INTERNATIONAL BUSINESS,Business,Business,English,Science
6211,HOSPITALITY MANAGEMENT,Business,Business,English,Science
6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business,Business,English,Science
6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business,Business,English,Science
1901,COMMUNICATIONS,Communications & Journalism,English,Social Science,Math
1902,JOURNALISM,Communications & Journalism,English,Social Science,Math
1903,MASS MEDIA,Communications & Journalism,English,Social Science,Math
1904,ADVERTISING AND PUBLIC RELATIONS,Communications & Journalism,English,Social Science,Math
2001,COMMUNICATION TECHNOLOGIES,Computer Technology,Tech,Math,English
2100,COMPUTER AND INFORMATION SYSTEMS,Computer Technology,Tech,Math,English
2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computer Technology,Tech,Math,English
2102,COMPUTER SCIENCE,Computer Technology,Tech,Math,English
2105,INFORMATION SCIENCES,Computer Technology,Tech,Math,English
2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computer Technology,Tech,Math,English
2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computer Technology,Tech,Math,English
3700,MATHEMATICS,Mathematics,Math,Tech,English
3701,APPLIED MATHEMATICS,Mathematics,Math,Tech,English
3702,STATISTICS AND DECISION SCIENCE,Mathematics,Math,Tech,English
4005,MATHEMATICS AND COMPUTER SCIENCE,Mathematics,Math,Tech,English
2300,GENERAL EDUCATION,Education,Social Science,English,Tech
